Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.041604759230865,2.91433543964104E-16,0.00953000268304519,0,0,0,0.905615118452809,0.00259574824259096,2.62334619330929E-17,-0.000322236947136696,0.00672719862540603,1.00932430212629E-17,0.0090784967229216,0,0,0,0,0,0,package://xe_ros/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xe_ros/meshes/base_link.STL,,body-1;de tay may-1,Coordinate System12,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_steer,2.7756E-17,0.0062173,-0.013579,0,0,0,0.0019896,2.2189E-07,-1.2223E-21,1.2603E-22,4.7096E-08,1.7579E-08,1.9591E-07,0,0,0,0,0,0,package://xe_ros/meshes/left_steer.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://xe_ros/meshes/left_steer.STL,,truc quay-1,Coordinate System11,Axis_ackermann_left,ackermann_left,revolute,0.084858,0.095,0.01,0,0,0,base_link,0,0,1,1,1,-0.6,0.6,,,0.5,1,,,,
front_left_wheel,0,2.7756E-17,2.7756E-17,0,0,0,0.31416,0.00023824,1.0835E-18,2.2588E-20,0.0003927,-5.5292E-19,0.00023824,0,0,0,0,0,0,package://xe_ros/meshes/front_left_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://xe_ros/meshes/front_left_wheel.STL,,banh xe-1,Coordinate System5,Axis_front_left,front_left,continuous,0,0.05,-0.0150000000000002,0,0,0,left_steer,0,1,0,10,5,,,,,0.5,0.5,,,,
right_steer,-1.3878E-17,-0.0062173,-0.013579,0,0,0,0.0019896,2.2189E-07,-1.2258E-21,-1.2449E-22,4.7096E-08,-1.7579E-08,1.9591E-07,0,0,0,0,0,0,package://xe_ros/meshes/right_steer.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://xe_ros/meshes/right_steer.STL,,truc quay-2,Coordinate System10,Axis_ackermann_right,ackermann_right,revolute,0.0848579858738173,-0.0950000000000006,0.0100000000000003,0,0,0,base_link,0,0,1,1,1,-0.6,0.6,,,0.5,1,,,,
front_right_wheel,1.3878E-17,1.3878E-17,-1.3878E-17,0,0,0,0.31416,0.00023824,1.0788E-18,2.1035E-20,0.0003927,-5.4278E-19,0.00023824,0,0,0,0,0,0,package://xe_ros/meshes/front_right_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://xe_ros/meshes/front_right_wheel.STL,,banh xe-4,Coordinate System4,Axis_front_right,front_right,continuous,0,-0.05,-0.015,0,0,0,right_steer,0,1,0,10,5,,,,,0.5,0.5,,,,
rear_left_wheel,-2.7756E-17,2.7756E-17,2.7756E-17,0,0,0,0.31416,0.00023824,1.0786E-18,5.2234E-21,0.0003927,-5.4382E-19,0.00023824,0,0,0,0,0,0,package://xe_ros/meshes/rear_left_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://xe_ros/meshes/rear_left_wheel.STL,,banh xe-2,Coordinate System6,Axis_rear_left,rear_left,continuous,-0.150142014126181,0.145000000000001,-0.00500000000000055,0,0,0,base_link,0,1,0,10,5,,,,,0.5,0.5,,,,
rear_right_wheel,-2.7756E-17,2.7756E-17,0,0,0,0,0.31416,0.00023824,1.0831E-18,-5.1951E-20,0.0003927,-5.393E-19,0.00023824,0,0,0,0,0,0,package://xe_ros/meshes/rear_right_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://xe_ros/meshes/rear_right_wheel.STL,,banh xe-3,Coordinate System7,Axis_rear_right,rear_right,continuous,-0.15014,-0.145,-0.005,0,0,0,base_link,0,1,0,10,5,,,,,0.5,0.5,,,,
camera,-1.1796E-16,0.0023818,-0.026941,0,0,0,0.05668,1.1271E-05,-4.9371E-20,1.4804E-20,1.8455E-05,1.4295E-07,1.5462E-05,0,0,0,0,0,0,package://xe_ros/meshes/camera.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://xe_ros/meshes/camera.STL,,cam-1,Coordinate System2,Axis_cam_mount,cam_mount,fixed,0.134857985873818,0,0.0225,-1.5707963267949,0,-1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
lidar,8.3267E-17,3.4694E-17,-0.010546,0,0,0,0.03774,6.7746E-06,7.918E-35,-2.2212E-20,6.7746E-06,-1.1345E-20,9.9555E-06,0,0,0,0,0,0,package://xe_ros/meshes/lidar.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://xe_ros/meshes/lidar.STL,,lidar-1,Coordinate System1,Axis_lidar_mount,lidar_mount,fixed,0.102857985873818,0,0.073,0,0,0,base_link,0,0,0,,,,,,,,,,,,
gps,3.33066907387547E-16,1.52655665885959E-16,-0.0450109181620072,0,0,0,0.00923199566912878,1.17192870008943E-06,2.40125957628312E-22,-4.84511820779604E-21,1.17192870008943E-06,-2.77959803157542E-21,1.9596689993416E-06,0,0,0,0,0,0,package://xe_ros/meshes/gps.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xe_ros/meshes/gps.STL,,gps-1,Coordinate System3,,gps_mount,fixed,-0.15714,0,0.054,0,0,0,base_link,0,0,0,,,,,,,,,,,,
link1,-2.9845E-09,-2.0519E-09,0.10991,0,0,0,0.66958,0.0034787,-5.081E-10,3.5555E-10,0.0035693,1.9934E-10,0.00042586,0,0,0,0,0,0,package://xe_ros/meshes/link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://xe_ros/meshes/link1.STL,,khau1-1,Coordinate System8,Axis_bot_rotate,bot_rotate,continuous,-0.070142,0,0.02,0,0,0,base_link,0,0,1,10,5,,,,,1.5,1.5,,,,
link2,0.14562,6.5632E-09,1.18E-09,0,0,0,0.87156,0.00062215,-3.4544E-10,1.3052E-09,0.005736,2.3752E-10,0.0057412,0,0,0,0,0,0,package://xe_ros/meshes/link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://xe_ros/meshes/link2.STL,,khau2-1,Coordinate System9,Axis_arm_joint,arm_joint,continuous,0,0,0.2375,-1.5708,0,0,link1,0,0,1,10,5,0,0,,,2,2,,,,
